epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1.969412088394165,2008.83203125,0.5625,0.5
1,0.8541454076766968,296376.125,0.75,0.5
2,0.7049846649169922,95.55316162109375,0.71875,0.5
3,0.8514460325241089,103.36187744140625,0.4375,0.5
4,0.6987485885620117,288.0667724609375,0.65625,0.5
5,0.7945336103439331,2492.80712890625,0.53125,0.5
6,0.8884356617927551,1241.492919921875,0.625,0.5
7,0.7221498489379883,0.6932284235954285,0.5625,0.5
8,0.8118735551834106,0.6974576711654663,0.59375,0.5
9,0.6452564001083374,0.669627845287323,0.625,0.5
10,0.683875322341919,3.1565768718719482,0.65625,0.5
11,0.6746636033058167,21.713924407958984,0.65625,0.5
12,0.5541130900382996,5.963737487792969,0.65625,0.5
13,0.50270676612854,0.6938257217407227,0.84375,0.5
14,0.7800142168998718,0.6943151950836182,0.59375,0.5
