epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,0.711825430393219,0.8088048100471497,0.5128205418586731,0.5
1,1.0022964477539062,0.7110896110534668,0.4615384638309479,0.5
2,0.7179048657417297,0.6934267282485962,0.4871794879436493,0.5
3,0.7015497088432312,0.6947413682937622,0.4615384638309479,0.5
4,0.7090739011764526,0.6912150979042053,0.43589743971824646,0.5
5,0.7050620317459106,0.6959584951400757,0.4871794879436493,0.5
6,0.6955264210700989,0.6908218264579773,0.4615384638309479,0.5
7,0.6968927383422852,0.6878128051757812,0.5641025900840759,0.5
8,0.7018954753875732,0.6503822207450867,0.5128205418586731,1.0
9,0.6628468036651611,0.5901476144790649,0.5384615659713745,0.5
10,0.6564767956733704,0.3449566960334778,0.692307710647583,1.0
11,0.5259820222854614,0.23551662266254425,0.7435897588729858,1.0
12,0.5543104410171509,0.24433796107769012,0.7692307829856873,1.0
13,0.6812450289726257,0.4271526336669922,0.6410256624221802,1.0
14,0.3773001730442047,0.2458026111125946,0.8974359035491943,1.0
15,0.8564360737800598,0.15177303552627563,0.7435897588729858,1.0
16,0.7996200323104858,0.739059567451477,0.5384615659713745,0.5
17,0.6918373703956604,0.6971014738082886,0.4871794879436493,0.5
18,0.7100430727005005,0.7017887234687805,0.4871794879436493,0.5
19,0.6988905668258667,0.6941995620727539,0.5384615659713745,0.5
20,0.6889671087265015,0.693926215171814,0.6153846383094788,0.5
21,0.6999384164810181,0.6931533813476562,0.41025641560554504,0.5
22,0.6971333026885986,0.6930223107337952,0.4871794879436493,0.5
23,0.6985824704170227,0.6930967569351196,0.41025641560554504,0.5
24,0.6986641883850098,0.69310063123703,0.5128205418586731,0.5
25,0.6812388896942139,0.6930820345878601,0.5641025900840759,0.5
